timestamp,elapsed_time_s,abs_fz_N
2025-09-08 23:52:17.414,3.170,1.500298
2025-09-08 23:52:17.421,3.177,1.500793
2025-09-08 23:52:17.428,3.184,1.496543
2025-09-08 23:52:17.435,3.191,1.489267
2025-09-08 23:52:17.442,3.198,1.485449
2025-09-08 23:52:17.449,3.205,1.496758
2025-09-08 23:52:17.456,3.212,1.492257
2025-09-08 23:52:17.462,3.219,1.488768
2025-09-08 23:52:17.469,3.226,1.485476
2025-09-08 23:52:17.476,3.233,1.478400
2025-09-08 23:52:17.483,3.240,1.474720
2025-09-08 23:52:17.491,3.248,1.478064
2025-09-08 23:52:17.498,3.255,1.473739
2025-09-08 23:52:17.505,3.262,1.480959
2025-09-08 23:52:17.512,3.269,1.477753
2025-09-08 23:52:17.519,3.276,1.463466
2025-09-08 23:52:17.526,3.283,1.467045
2025-09-08 23:52:17.533,3.290,1.466809
2025-09-08 23:52:17.540,3.297,1.444167
2025-09-08 23:52:17.547,3.304,1.452674
2025-09-08 23:52:17.554,3.311,1.445203
2025-09-08 23:52:17.561,3.318,1.444738
2025-09-08 23:52:17.568,3.325,1.451704
2025-09-08 23:52:17.575,3.332,1.448043
2025-09-08 23:52:17.582,3.339,1.448043
2025-09-08 23:52:17.589,3.346,1.452393
2025-09-08 23:52:17.596,3.353,1.444866
2025-09-08 23:52:17.603,3.360,1.448928
2025-09-08 23:52:17.610,3.367,1.467697
2025-09-08 23:52:17.617,3.374,1.470987
2025-09-08 23:52:17.624,3.381,1.475183
2025-09-08 23:52:17.631,3.388,1.460224
2025-09-08 23:52:17.638,3.395,1.456736
2025-09-08 23:52:17.645,3.402,1.492767
2025-09-08 23:52:17.652,3.409,1.507044
2025-09-08 23:52:17.659,3.416,1.496261
2025-09-08 23:52:17.666,3.423,1.484778
2025-09-08 23:52:17.673,3.430,1.496347
2025-09-08 23:52:17.680,3.437,1.532889
2025-09-08 23:52:17.688,3.445,1.536937
2025-09-08 23:52:17.695,3.452,1.544938
