diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,avg_offset,ideal_rnp_angle,k_rod,k_rod_avg,c_rod,predicted_angle,error
2,cw,30,0.866025404,29.3125,0.7445375,36.78,-1.216,73.88730675,0.497785095,0.534,-0.431,39.0248218,2.244821802
2,cw,30,0.866025404,58.6875,1.4906625,85.11,-1.216,147.9321557,0.575331304,0.534,-0.431,78.56477116,-6.545228844
2,cw,30,0.866025404,58.6875,1.4906625,84.87,-1.216,147.9321557,0.573708938,0.534,-0.431,78.56477116,-6.305228844
2,cw,30,0.866025404,58.6875,1.4906625,84.08,-1.216,147.9321557,0.568368652,0.534,-0.431,78.56477116,-5.515228844
2,cw,30,0.866025404,58.6875,1.4906625,84.02,-1.216,147.9321557,0.567963061,0.534,-0.431,78.56477116,-5.455228844
2,cw,30,0.866025404,58.6875,1.4906625,83.76,-1.216,147.9321557,0.566205499,0.534,-0.431,78.56477116,-5.195228844
2,cw,30,0.866025404,58.6875,1.4906625,83.65,-1.216,147.9321557,0.565461915,0.534,-0.431,78.56477116,-5.085228844
2,cw,30,0.866025404,58.6875,1.4906625,82.9,-1.216,147.9321557,0.560392023,0.534,-0.431,78.56477116,-4.335228844
2,cw,30,0.866025404,58.6875,1.4906625,82.85,-1.216,147.9321557,0.56005403,0.534,-0.431,78.56477116,-4.285228844
2,cw,30,0.866025404,58.6875,1.4906625,82.72,-1.216,147.9321557,0.559175249,0.534,-0.431,78.56477116,-4.155228844
2,cw,30,0.866025404,58.6875,1.4906625,82.27,-1.216,147.9321557,0.556133314,0.534,-0.431,78.56477116,-3.705228844
2,cw,30,0.866025404,58.6875,1.4906625,81.56,-1.216,147.9321557,0.551333817,0.534,-0.431,78.56477116,-2.995228844
2,cw,30,0.866025404,58.6875,1.4906625,81.52,-1.216,147.9321557,0.551063422,0.534,-0.431,78.56477116,-2.955228844
2,cw,30,0.866025404,58.6875,1.4906625,81.05,-1.216,147.9321557,0.54788629,0.534,-0.431,78.56477116,-2.485228844
2,cw,30,0.866025404,58.6875,1.4906625,80.35,-1.216,147.9321557,0.543154391,0.534,-0.431,78.56477116,-1.785228844
2,cw,30,0.866025404,88,2.2352,126.6,-1.216,221.8194625,0.57073441,0.534,-0.431,118.020593,-8.579407042
2,cw,30,0.866025404,88,2.2352,125.1,-1.216,221.8194625,0.563972154,0.534,-0.431,118.020593,-7.079407042
2,cw,30,0.866025404,88,2.2352,124.23,-1.216,221.8194625,0.560050045,0.534,-0.431,118.020593,-6.209407042
2,cw,30,0.866025404,88,2.2352,124.05,-1.216,221.8194625,0.559238575,0.534,-0.431,118.020593,-6.029407042
2,cw,30,0.866025404,88,2.2352,123.94,-1.216,221.8194625,0.558742676,0.534,-0.431,118.020593,-5.919407042
2,cw,30,0.866025404,88,2.2352,122.94,-1.216,221.8194625,0.554234505,0.534,-0.431,118.020593,-4.919407042
