diameter,direction,tilt,steps,stepper_travel,measured_angle,predicted_angle,error
3,ccw,20,89.5,2.2733,87.15,,
3,ccw,20,89.5,2.2733,85.88,,
3,ccw,20,134.25,3.40995,135.85,,
3,ccw,20,134.25,3.40995,134.86,,
3,ccw,20,134.25,3.40995,130.89,,
3,ccw,20,134.25,3.40995,130.53,,
3,cw,20,9.875,0.250825,10.45,,
3,cw,20,9.875,0.250825,7.9,,
3,cw,20,9.875,0.250825,7.67,,
3,cw,20,9.875,0.250825,7.58,,
3,cw,20,9.875,0.250825,7.56,,
3,cw,20,9.875,0.250825,6.72,,
3,cw,20,44.5,1.1303,44.82,,
3,cw,20,44.5,1.1303,44.12,,
3,cw,20,44.5,1.1303,43.93,,
3,cw,20,44.5,1.1303,43.87,,
3,cw,20,44.5,1.1303,43.7,,
3,cw,20,44.5,1.1303,43.2,,
3,cw,20,44.5,1.1303,42.7,,
3,cw,20,44.5,1.1303,42.31,,
3,cw,20,88.9375,2.2590125,91.37,,
3,cw,20,88.9375,2.2590125,88.35,,
3,cw,20,88.9375,2.2590125,87.31,,
3,cw,20,88.9375,2.2590125,86.65,,
3,cw,20,133.4375,3.3893125,133.17,,
3,cw,20,133.4375,3.3893125,130.65,,
4,ccw,20,12.9375,0.3286125,9.55,,
4,ccw,20,12.9375,0.3286125,8.75,,
4,ccw,20,12.9375,0.3286125,8.68,,
4,ccw,20,12.9375,0.3286125,8.67,,
4,ccw,20,12.9375,0.3286125,8.59,,
4,ccw,20,58.1875,1.4779625,44.95,,
4,ccw,20,58.1875,1.4779625,42.44,,
4,ccw,20,58.1875,1.4779625,42.4,,
4,ccw,20,58.1875,1.4779625,42.04,,
4,ccw,20,58.1875,1.4779625,40.68,,
4,ccw,20,58.1875,1.4779625,40.12,,
4,ccw,20,116.375,2.955925,88.06,,
4,ccw,20,116.375,2.955925,87.01,,
4,ccw,20,116.375,2.955925,86.18,,
4,ccw,20,116.375,2.955925,83.91,,
4,ccw,20,116.375,2.955925,82.85,,
4,ccw,20,174.5,4.4323,131.56,,
4,ccw,20,174.5,4.4323,131.29,,
4,ccw,20,174.5,4.4323,129.02,,
4,ccw,20,174.5,4.4323,127.68,,
4,ccw,20,174.5,4.4323,125.31,,
4,cw,20,12.75,0.32385,9.46,,
4,cw,20,12.75,0.32385,8.98,,
4,cw,20,12.75,0.32385,8.65,,
4,cw,20,12.75,0.32385,8.64,,
4,cw,20,12.75,0.32385,8.62,,
4,cw,20,57.4375,1.4589125,44.14,,
4,cw,20,57.4375,1.4589125,43.2,,
4,cw,20,57.4375,1.4589125,42.07,,
4,cw,20,57.4375,1.4589125,39.62,,
4,cw,20,114.875,2.917825,86.91,,
4,cw,20,114.875,2.917825,86.03,,
4,cw,20,114.875,2.917825,85.25,,
4,cw,20,114.875,2.917825,84.28,,
4,cw,20,114.875,2.917825,83.08,,
4,cw,20,172.375,4.378325,131.59,,
4,cw,20,172.375,4.378325,131.29,,
4,cw,20,172.375,4.378325,127.79,,
4,cw,20,172.375,4.378325,126.22,,
4,cw,20,172.375,4.378325,125.69,,
5,ccw,20,16.375,0.415925,9.82,,
5,ccw,20,16.375,0.415925,9.64,,
5,ccw,20,16.375,0.415925,9.39,,
5,ccw,20,16.375,0.415925,9.05,,
5,ccw,20,16.375,0.415925,8.8,,
5,ccw,20,16.375,0.415925,8.64,,
5,ccw,20,73.75,1.87325,45.12,,
5,ccw,20,73.75,1.87325,44.07,,
5,ccw,20,73.75,1.87325,42.34,,
5,ccw,20,73.75,1.87325,41.54,,
5,ccw,20,73.75,1.87325,41.11,,
5,ccw,20,147.5,3.7465,88.29,,
5,ccw,20,147.5,3.7465,87.76,,
5,ccw,20,147.5,3.7465,87.21,,
5,ccw,20,147.5,3.7465,86.74,,
5,ccw,20,147.5,3.7465,86.73,,
5,ccw,20,221.25,5.61975,134.18,,
5,ccw,20,221.25,5.61975,133.97,,
5,ccw,20,221.25,5.61975,130.57,,
5,ccw,20,221.25,5.61975,128.16,,
5,ccw,20,221.25,5.61975,126.54,,
5,cw,20,16.4375,0.4175125,9.84,,
5,cw,20,16.4375,0.4175125,9.22,,
5,cw,20,16.4375,0.4175125,8.9,,
5,cw,20,16.4375,0.4175125,8.68,,
5,cw,20,73.9375,1.8780125,44.8,,
5,cw,20,73.9375,1.8780125,43.1,,
5,cw,20,73.9375,1.8780125,42.47,,
5,cw,20,73.9375,1.8780125,42.43,,
5,cw,20,73.9375,1.8780125,42.15,,
5,cw,20,147.875,3.756025,88.57,,
5,cw,20,147.875,3.756025,88.49,,
5,cw,20,147.875,3.756025,86.13,,
5,cw,20,147.875,3.756025,86.04,,
5,cw,20,147.875,3.756025,85.9,,
5,cw,20,221.875,5.635625,134.96,,
5,cw,20,221.875,5.635625,133.44,,
5,cw,20,221.875,5.635625,133.07,,
5,cw,20,221.875,5.635625,131.04,,
5,cw,20,221.875,5.635625,128.54,,
2,ccw,30,6.5625,0.1666875,12.3,,
2,ccw,30,6.5625,0.1666875,7.58,,
2,ccw,30,29.375,0.746125,51.98,,
2,ccw,30,29.375,0.746125,49.93,,
2,ccw,30,29.375,0.746125,36.21,,
2,ccw,30,58.8125,1.4938375,98.85,,
2,ccw,30,58.8125,1.4938375,95.47,,
2,ccw,30,58.8125,1.4938375,84.41,,
2,ccw,30,58.8125,1.4938375,83.2,,
2,ccw,30,58.8125,1.4938375,82.6,,
2,ccw,30,58.8125,1.4938375,82.19,,
2,ccw,30,58.8125,1.4938375,81.08,,
2,ccw,30,58.8125,1.4938375,80.09,,
2,ccw,30,88.1875,2.2399625,126.55,,
2,ccw,30,88.1875,2.2399625,124.1,,
2,cw,30,6.5,0.1651,9.25,,
2,cw,30,6.5,0.1651,9.06,,
2,cw,30,6.5,0.1651,7.81,,
2,cw,30,6.5,0.1651,7.79,,
2,cw,30,6.5,0.1651,7.76,,
2,cw,30,6.5,0.1651,7.7,,
2,cw,30,6.5,0.1651,7.64,,
2,cw,30,6.5,0.1651,7.64,,
2,cw,30,6.5,0.1651,7.57,,
2,cw,30,6.5,0.1651,7.53,,
2,cw,30,6.5,0.1651,7.5,,
2,cw,30,6.5,0.1651,7.06,,
2,cw,30,6.5,0.1651,6.77,,
2,cw,30,6.5,0.1651,6.56,,
2,cw,30,29.3125,0.7445375,41.17,,
2,cw,30,29.3125,0.7445375,40.79,,
2,cw,30,29.3125,0.7445375,40.63,,
2,cw,30,29.3125,0.7445375,39.92,,
2,cw,30,29.3125,0.7445375,39.83,,
2,cw,30,29.3125,0.7445375,39.47,,
2,cw,30,29.3125,0.7445375,39.22,,
2,cw,30,29.3125,0.7445375,38.68,,
2,cw,30,29.3125,0.7445375,38.64,,
2,cw,30,29.3125,0.7445375,38.06,,
2,cw,30,29.3125,0.7445375,37.61,,
